,Chuv,Pres,Temp,Umid
0,0.0,1025.0948486328125,21.027057647705078,71.13378143310547
1,0.0,1025.036865234375,21.060749053955078,72.70751190185547
2,0.0,1024.995849609375,21.107452392578125,72.58078002929688
3,0.0,1024.8077392578125,21.39911460876465,71.21104431152344
4,0.0,1024.6358642578125,20.289459228515625,75.39124298095703
5,0.0,1024.420166015625,20.108570098876953,77.32586669921875
6,0.0,1024.31689453125,20.145355224609375,77.0591812133789
7,0.0,1024.13037109375,19.85136604309082,77.97915649414062
8,0.0,1023.9486694335938,19.386791229248047,79.4779052734375
9,0.0,1023.7415771484375,19.38311004638672,80.06903076171875
10,0.0,1023.46875,19.233909606933594,80.42708587646484
11,0.0,1023.1934814453125,19.30826187133789,80.32243347167969
12,0.0,1023.0581665039062,19.552906036376953,79.00025939941406
13,0.0,1022.9411010742188,19.36016845703125,78.74620056152344
14,0.0,1022.6775512695312,19.656475067138672,77.31148529052734
15,0.0,1022.582275390625,19.383190155029297,78.88652038574219
16,0.0,1022.537841796875,19.439327239990234,78.1520767211914
17,0.0,1022.3897094726562,19.896074295043945,76.43042755126953
18,0.0,1022.3414916992188,19.96917724609375,76.01885986328125
19,0.0,1022.401611328125,19.972862243652344,74.6473159790039
20,0.0,1022.2891845703125,20.066240310668945,74.04064178466797
21,0.0,1022.2396240234375,20.0274600982666,74.1768569946289
22,0.0,1022.10693359375,20.098003387451172,73.642333984375
23,0.0,1022.107666015625,20.040019989013672,74.04484558105469
24,0.0,1022.0234985351562,19.904794692993164,74.39493560791016
25,0.0,1022.1373901367188,20.053308486938477,74.27385711669922
26,0.0,1022.0581665039062,19.95245361328125,74.72352600097656
27,0.0,1022.2070922851562,20.043943405151367,74.58790588378906
28,0.0,1022.2694091796875,20.32415771484375,73.04498291015625
29,0.0,1022.2659912109375,20.574960708618164,71.70533752441406
30,0.0,1022.3836669921875,20.69741439819336,70.72239685058594
31,0.0,1022.447265625,20.67312240600586,70.58712005615234
32,0.0,1022.4840698242188,20.65447235107422,70.56553649902344
33,0.0,1022.5382690429688,20.561071395874023,70.95087432861328
34,0.0,1022.4599609375,20.587770462036133,70.83657836914062
35,0.0,1022.5159301757812,20.69981575012207,70.4673080444336
36,0.0,1022.4943237304688,20.783538818359375,70.07206726074219
37,0.0,1022.4547119140625,20.78450584411621,69.97516632080078
38,0.0,1022.5313720703125,20.864330291748047,69.48729705810547
39,0.0,1022.5869140625,20.830402374267578,69.50984954833984
40,0.0,1022.5457763671875,20.945409774780273,68.83821105957031
41,0.0,1022.5490112304688,20.959741592407227,68.58769226074219
42,0.0,1022.631103515625,20.993276596069336,68.6048812866211
43,0.0,1022.6102905273438,21.017213821411133,68.30252075195312
44,0.0,1022.5674438476562,21.133739471435547,67.34024810791016
45,0.0,1022.6029663085938,21.284015655517578,66.59971618652344
46,0.0,1022.5657348632812,21.27305793762207,66.35149383544922
47,0.0,1022.5843505859375,21.34808921813965,66.04763793945312
48,0.0,1022.5796508789062,21.48102378845215,66.13787078857422
49,0.0,1022.4419555664062,21.53978157043457,66.59738159179688
